,time,pod_name,mean_cpu_usage_nanocores,mean_memory_working_set_bytes
2000,1681099200000000000,body-az2-prd-f864b8c88-4sqz6,13248642.691666666,840048059.7333333
2001,1681095600000000000,body-az2-prd-f864b8c88-4sqz6,18533783.258333333,852086613.3333334
2002,1681092000000000000,body-az2-prd-f864b8c88-4sqz6,17209672.891666666,845673472.0
2003,1681088400000000000,body-az2-prd-f864b8c88-4sqz6,14470657.95,842123400.5333333
2004,1681084800000000000,body-az2-prd-f864b8c88-4sqz6,16802066.491666667,846971938.1333333
2005,1681081200000000000,body-az2-prd-f864b8c88-4sqz6,33010533.15,877494510.9333333
2006,1681077600000000000,body-az2-prd-f864b8c88-4sqz6,34589190.7,876753920.0
2007,1681074000000000000,body-az2-prd-f864b8c88-4sqz6,22869461.591666665,846802705.0666667
2008,1681070400000000000,body-az2-prd-f864b8c88-4sqz6,12371828.225,838560221.8666667
2009,1681066800000000000,body-az2-prd-f864b8c88-4sqz6,5252343.483333333,819049847.4666667
2010,1681063200000000000,body-az2-prd-f864b8c88-4sqz6,3848137.933333333,810605772.8
2011,1681059600000000000,body-az2-prd-f864b8c88-4sqz6,4293427.658333333,813494784.0
2012,1681056000000000000,body-az2-prd-f864b8c88-4sqz6,4921822.516666667,818147054.9333333
2013,1681052400000000000,body-az2-prd-f864b8c88-4sqz6,4935315.333333333,817850368.0
2014,1681048800000000000,body-az2-prd-f864b8c88-4sqz6,7543541.558333334,824224256.0
2015,1681045200000000000,body-az2-prd-f864b8c88-4sqz6,10718319.75630252,836661282.420168
2016,1681041600000000000,body-az2-prd-f864b8c88-4sqz6,14176513.033333331,837898786.1333333
2017,1681038000000000000,body-az2-prd-f864b8c88-4sqz6,15313968.75,840902417.0666667
2018,1681034400000000000,body-az2-prd-f864b8c88-4sqz6,16678189.45,840382737.0666667
2019,1681030800000000000,body-az2-prd-f864b8c88-4sqz6,17756117.591666665,845328691.2
2020,1681027200000000000,body-az2-prd-f864b8c88-4sqz6,21011289.016666666,849306555.7333333
2021,1681023600000000000,body-az2-prd-f864b8c88-4sqz6,19847050.708333332,846813934.9333333
2022,1681020000000000000,body-az2-prd-f864b8c88-4sqz6,20899442.775,849636078.9333333
2023,1681016400000000000,body-az2-prd-f864b8c88-4sqz6,21565252.875,852201745.0666667
2024,1681012800000000000,body-az2-prd-f864b8c88-4sqz6,23965813.333333332,851628236.8
2025,1681009200000000000,body-az2-prd-f864b8c88-4sqz6,22368897.616666667,850372027.7333333
2026,1681005600000000000,body-az2-prd-f864b8c88-4sqz6,18976647.583333332,848820906.6666666
2027,1681002000000000000,body-az2-prd-f864b8c88-4sqz6,20063996.258333333,853137885.8666667
2028,1680998400000000000,body-az2-prd-f864b8c88-4sqz6,18418854.408333335,844368486.4
2029,1680994800000000000,body-az2-prd-f864b8c88-4sqz6,14633175.908333331,843898504.5333333
2030,1680991200000000000,body-az2-prd-f864b8c88-4sqz6,13202507.283333331,840725333.3333334
2031,1680987600000000000,body-az2-prd-f864b8c88-4sqz6,9808521.641666668,830110788.2666667
2032,1680984000000000000,body-az2-prd-f864b8c88-4sqz6,7542838.008333334,824661060.2666667
2033,1680980400000000000,body-az2-prd-f864b8c88-4sqz6,4888452.641666667,817847705.6
