,time,pod_name,mean_cpu_usage_nanocores,mean_memory_working_set_bytes
641,1688747400000000000,drive-az2-prd-85645f87d9-mpw5q,11066115.311111111,1693317347.5555556
1686,1688745600000000000,drive-az2-prd-85645f87d9-mpw5q,13144453.75,1693943466.6666667
2744,1688743800000000000,drive-az2-prd-85645f87d9-mpw5q,15725881.466666669,1706315298.1333334
3802,1688742000000000000,drive-az2-prd-85645f87d9-mpw5q,19227032.1,1725962854.4
4859,1688740200000000000,drive-az2-prd-85645f87d9-mpw5q,22891707.116666667,1717983778.1333334
5920,1688738400000000000,drive-az2-prd-85645f87d9-mpw5q,25724503.333333332,1730758109.8666666
6984,1688736600000000000,drive-az2-prd-85645f87d9-mpw5q,32884221.366666667,1731625164.8
8050,1688734800000000000,drive-az2-prd-85645f87d9-mpw5q,37256486.31666667,1729242180.266667
9111,1688733000000000000,drive-az2-prd-85645f87d9-mpw5q,44478488.96666667,1729610478.9333334
9481,1688731200000000000,drive-az2-prd-85645f87d9-mpw5q,47573209.916666664,1724962747.733333
10546,1688729400000000000,drive-az2-prd-85645f87d9-mpw5q,54703292.11666667,1756550758.4
11604,1688727600000000000,drive-az2-prd-85645f87d9-mpw5q,58038832.71666667,1741117030.4
12672,1688725800000000000,drive-az2-prd-85645f87d9-mpw5q,70712302.9,1755692373.3333333
13741,1688724000000000000,drive-az2-prd-85645f87d9-mpw5q,84457435.05,1766264217.6
14808,1688722200000000000,drive-az2-prd-85645f87d9-mpw5q,92887219.76666668,1805986816.0
15857,1688720400000000000,drive-az2-prd-85645f87d9-mpw5q,103610438.98333332,1844597009.0666664
16925,1688718600000000000,drive-az2-prd-85645f87d9-mpw5q,91511879.41666669,1795280076.8
17990,1688716800000000000,drive-az2-prd-85645f87d9-mpw5q,90373318.25,1790418602.6666667
19055,1688715000000000000,drive-az2-prd-85645f87d9-mpw5q,76279896.93333334,1761980006.4
20058,1688713200000000000,drive-az2-prd-85645f87d9-mpw5q,74595658.1,1759342728.5333333
21118,1688711400000000000,drive-az2-prd-85645f87d9-mpw5q,76901747.65,1763777058.1333334
22184,1688709600000000000,drive-az2-prd-85645f87d9-mpw5q,73328849.31666666,1738774323.2
23252,1688707800000000000,drive-az2-prd-85645f87d9-mpw5q,67951732.9,1739206041.6
24319,1688706000000000000,drive-az2-prd-85645f87d9-mpw5q,69284086.31666666,1751488170.6666667
25384,1688704200000000000,drive-az2-prd-85645f87d9-mpw5q,75271846.31666666,1762518835.2
