,time,pod_name,mean_cpu_usage_nanocores,mean_memory_working_set_bytes
45,1688142600000000000,kibana-kibana-5d996f756d-f9pwp,72621253.68888889,834104160.7111111
1084,1688140800000000000,kibana-kibana-5d996f756d-f9pwp,68559168.08333333,833799236.2666667
2138,1688139000000000000,kibana-kibana-5d996f756d-f9pwp,70287246.66666667,833491558.4
3191,1688137200000000000,kibana-kibana-5d996f756d-f9pwp,65487853.95,832675771.7333333
4243,1688135400000000000,kibana-kibana-5d996f756d-f9pwp,63503948.31666667,832768204.8
5262,1688133600000000000,kibana-kibana-5d996f756d-f9pwp,67261393.5,832435200.0
6312,1688131800000000000,kibana-kibana-5d996f756d-f9pwp,69262222.58333333,831699558.4
7373,1688130000000000000,kibana-kibana-5d996f756d-f9pwp,73665367.6,832595626.6666666
8433,1688128200000000000,kibana-kibana-5d996f756d-f9pwp,68766073.35,837250867.2
9484,1688126400000000000,kibana-kibana-5d996f756d-f9pwp,78396829.03333333,836383129.6
10513,1688124600000000000,kibana-kibana-5d996f756d-f9pwp,70943575.16666667,836045550.9333333
11558,1688122800000000000,kibana-kibana-5d996f756d-f9pwp,75467212.26666667,835681416.5333333
12615,1688121000000000000,kibana-kibana-5d996f756d-f9pwp,71780631.06666666,836338073.6
13671,1688119200000000000,kibana-kibana-5d996f756d-f9pwp,82648574.75,835074730.6666666
14728,1688117400000000000,kibana-kibana-5d996f756d-f9pwp,79133724.86666666,833295974.4
15779,1688115600000000000,kibana-kibana-5d996f756d-f9pwp,81048011.66666667,829122150.4
16833,1688113800000000000,kibana-kibana-5d996f756d-f9pwp,82311629.76666667,838873019.7333333
17889,1688112000000000000,kibana-kibana-5d996f756d-f9pwp,79454921.23333333,838964906.6666666
18948,1688110200000000000,kibana-kibana-5d996f756d-f9pwp,86854622.35,840044612.2666667
20007,1688108400000000000,kibana-kibana-5d996f756d-f9pwp,86663039.6,840269960.5333333
21050,1688106600000000000,kibana-kibana-5d996f756d-f9pwp,83288921.53333333,840410521.6
22110,1688104800000000000,kibana-kibana-5d996f756d-f9pwp,85466516.36666666,836911377.0666667
23170,1688103000000000000,kibana-kibana-5d996f756d-f9pwp,79481784.16666667,838061465.6
24194,1688101200000000000,kibana-kibana-5d996f756d-f9pwp,84567343.85,839692151.4666667
25254,1688099400000000000,kibana-kibana-5d996f756d-f9pwp,76921558.46666667,838205030.4
26313,1688097600000000000,kibana-kibana-5d996f756d-f9pwp,79629715.43333334,836542395.7333333
27354,1688095800000000000,kibana-kibana-5d996f756d-f9pwp,74827271.01666667,836350361.6
28413,1688094000000000000,kibana-kibana-5d996f756d-f9pwp,73712947.73333333,836467575.4666667
30331,1688092200000000000,kibana-kibana-5d996f756d-f9pwp,77135564.53333333,835332164.2666667
31378,1688090400000000000,kibana-kibana-5d996f756d-f9pwp,77039441.73333333,836849254.4
32428,1688088600000000000,kibana-kibana-5d996f756d-f9pwp,81571320.08333333,836054220.8
33447,1688086800000000000,kibana-kibana-5d996f756d-f9pwp,84089676.01666667,836640290.1333333
34492,1688085000000000000,kibana-kibana-5d996f756d-f9pwp,73969453.55,830263432.5333333
34600,1688083200000000000,kibana-kibana-5d996f756d-f9pwp,28046047.1,825393834.6666666
36369,1688081400000000000,kibana-kibana-5d996f756d-f9pwp,27060131.566666663,821192362.6666666
37423,1688079600000000000,kibana-kibana-5d996f756d-f9pwp,22543391.716666665,822525474.1333333
38479,1688077800000000000,kibana-kibana-5d996f756d-f9pwp,25393756.633333333,821463859.2
39536,1688076000000000000,kibana-kibana-5d996f756d-f9pwp,23775788.233333334,821197482.6666666
40594,1688074200000000000,kibana-kibana-5d996f756d-f9pwp,20704599.083333332,818961612.8
41650,1688072400000000000,kibana-kibana-5d996f756d-f9pwp,20978430.333333332,819173922.1333333
42651,1688070600000000000,kibana-kibana-5d996f756d-f9pwp,22432717.666666668,820251033.6
43702,1688068800000000000,kibana-kibana-5d996f756d-f9pwp,22756836.95,822314530.1333333
44760,1688067000000000000,kibana-kibana-5d996f756d-f9pwp,19806200.983333334,824174045.8666667
45819,1688065200000000000,kibana-kibana-5d996f756d-f9pwp,17198293.383333333,819860206.9333333
46877,1688063400000000000,kibana-kibana-5d996f756d-f9pwp,19457011.666666668,823259409.0666667
47936,1688061600000000000,kibana-kibana-5d996f756d-f9pwp,19306814.466666665,817998984.5333333
48978,1688059800000000000,kibana-kibana-5d996f756d-f9pwp,20727881.55,819733230.9333333
50034,1688058000000000000,kibana-kibana-5d996f756d-f9pwp,19010924.533333335,819593420.8
51085,1688056200000000000,kibana-kibana-5d996f756d-f9pwp,22234061.316666663,817876650.6666666
52135,1688054400000000000,kibana-kibana-5d996f756d-f9pwp,26282103.9,823137006.9333333
53189,1688052600000000000,kibana-kibana-5d996f756d-f9pwp,22665634.783333335,822837589.3333334
54242,1688050800000000000,kibana-kibana-5d996f756d-f9pwp,23384627.016666666,821938039.4666667
55294,1688049000000000000,kibana-kibana-5d996f756d-f9pwp,21075939.333333332,823624226.1333333
56347,1688047200000000000,kibana-kibana-5d996f756d-f9pwp,22128181.216666665,820222566.4
57400,1688045400000000000,kibana-kibana-5d996f756d-f9pwp,17889881.366666667,821797614.9333333
58419,1688043600000000000,kibana-kibana-5d996f756d-f9pwp,22900179.283333335,821887044.2666667
59476,1688041800000000000,kibana-kibana-5d996f756d-f9pwp,23077348.1,820195942.4
60525,1688040000000000000,kibana-kibana-5d996f756d-f9pwp,25940464.35,817554841.6
61579,1688038200000000000,kibana-kibana-5d996f756d-f9pwp,23583117.616666667,821766553.6
62639,1688036400000000000,kibana-kibana-5d996f756d-f9pwp,22128546.966666665,822238822.4
63702,1688034600000000000,kibana-kibana-5d996f756d-f9pwp,24873066.383333333,822362794.6666666
64688,1688032800000000000,kibana-kibana-5d996f756d-f9pwp,24428867.6,817873510.4
65741,1688031000000000000,kibana-kibana-5d996f756d-f9pwp,24624622.9,820071833.6
