,time,pod_name,mean_cpu_usage_nanocores,mean_memory_working_set_bytes
392,1688747400000000000,standard-az2-prd-6bd85cf6dc-nl58z,2644943.4444444445,1205409655.4666667
1455,1688745600000000000,standard-az2-prd-6bd85cf6dc-nl58z,7271400.366666666,1205491712.0
2514,1688743800000000000,standard-az2-prd-6bd85cf6dc-nl58z,3337143.5833333335,1205596706.1333334
3568,1688742000000000000,standard-az2-prd-6bd85cf6dc-nl58z,3759401.0,1205651797.3333333
4557,1688740200000000000,standard-az2-prd-6bd85cf6dc-nl58z,5362055.2,1205668113.0666666
5618,1688738400000000000,standard-az2-prd-6bd85cf6dc-nl58z,9376513.683333334,1205690845.8666666
6681,1688736600000000000,standard-az2-prd-6bd85cf6dc-nl58z,13822107.733333332,1205767714.1333334
7748,1688734800000000000,standard-az2-prd-6bd85cf6dc-nl58z,14311548.966666669,1205728256.0
8814,1688733000000000000,standard-az2-prd-6bd85cf6dc-nl58z,22123425.9,1205800413.8666666
9879,1688731200000000000,standard-az2-prd-6bd85cf6dc-nl58z,19492755.933333337,1205777544.5333333
10938,1688729400000000000,standard-az2-prd-6bd85cf6dc-nl58z,20034733.533333335,1205841510.4
12003,1688727600000000000,standard-az2-prd-6bd85cf6dc-nl58z,21808432.533333335,1205783620.266667
13062,1688725800000000000,standard-az2-prd-6bd85cf6dc-nl58z,24681152.683333337,1205607628.8
14117,1688724000000000000,standard-az2-prd-6bd85cf6dc-nl58z,24309379.05,1205340774.4
15179,1688722200000000000,standard-az2-prd-6bd85cf6dc-nl58z,25551232.366666667,1205234961.0666666
16243,1688720400000000000,standard-az2-prd-6bd85cf6dc-nl58z,27496193.483333334,1205016371.2
17305,1688718600000000000,standard-az2-prd-6bd85cf6dc-nl58z,28523392.6,1204782216.5333333
18370,1688716800000000000,standard-az2-prd-6bd85cf6dc-nl58z,25135820.666666668,1204748492.8
19433,1688715000000000000,standard-az2-prd-6bd85cf6dc-nl58z,21868289.433333337,1204666026.6666667
20493,1688713200000000000,standard-az2-prd-6bd85cf6dc-nl58z,23239324.333333332,1204626705.0666666
21557,1688711400000000000,standard-az2-prd-6bd85cf6dc-nl58z,21041689.016666666,1204558506.6666667
22623,1688709600000000000,standard-az2-prd-6bd85cf6dc-nl58z,21585004.733333334,1204431121.0666666
23688,1688707800000000000,standard-az2-prd-6bd85cf6dc-nl58z,18077208.333333332,1204365994.6666667
24727,1688706000000000000,standard-az2-prd-6bd85cf6dc-nl58z,16939781.166666668,1204381218.1333334
25799,1688704200000000000,standard-az2-prd-6bd85cf6dc-nl58z,20509781.15,1204375961.6
26870,1688702400000000000,standard-az2-prd-6bd85cf6dc-nl58z,18679379.75,1204301619.2
27926,1688700600000000000,standard-az2-prd-6bd85cf6dc-nl58z,17709346.666666668,1204281139.2
28995,1688698800000000000,standard-az2-prd-6bd85cf6dc-nl58z,18508143.366666667,1204249463.4666667
30064,1688697000000000000,standard-az2-prd-6bd85cf6dc-nl58z,18185420.633333333,1204268919.4666667
31133,1688695200000000000,standard-az2-prd-6bd85cf6dc-nl58z,17223287.383333333,1204234649.6
32200,1688693400000000000,standard-az2-prd-6bd85cf6dc-nl58z,18419360.583333332,1204198400.0
33267,1688691600000000000,standard-az2-prd-6bd85cf6dc-nl58z,18706036.333333332,1204178261.3333333
34334,1688689800000000000,standard-az2-prd-6bd85cf6dc-nl58z,19648455.316666663,1204143035.733333
35403,1688688000000000000,standard-az2-prd-6bd85cf6dc-nl58z,19239251.883333333,1204107195.733333
36472,1688686200000000000,standard-az2-prd-6bd85cf6dc-nl58z,21135989.533333335,1204045824.0
37540,1688684400000000000,standard-az2-prd-6bd85cf6dc-nl58z,15924213.283333331,1203943492.266667
38600,1688682600000000000,standard-az2-prd-6bd85cf6dc-nl58z,14834807.65,1203938713.6
39670,1688680800000000000,standard-az2-prd-6bd85cf6dc-nl58z,10406722.916666666,1203925333.3333333
40737,1688679000000000000,standard-az2-prd-6bd85cf6dc-nl58z,8766525.233333332,1203838020.266667
41806,1688677200000000000,standard-az2-prd-6bd85cf6dc-nl58z,9052111.533333331,1203830715.733333
42858,1688675400000000000,standard-az2-prd-6bd85cf6dc-nl58z,10871511.8,1203856247.4666667
43927,1688673600000000000,standard-az2-prd-6bd85cf6dc-nl58z,7307049.066666666,1203830237.8666666
44994,1688671800000000000,standard-az2-prd-6bd85cf6dc-nl58z,5795282.95,1203821499.733333
46061,1688670000000000000,standard-az2-prd-6bd85cf6dc-nl58z,6699831.416666667,1203864029.8666666
47063,1688668200000000000,standard-az2-prd-6bd85cf6dc-nl58z,4100936.45,1203797401.6
48128,1688666400000000000,standard-az2-prd-6bd85cf6dc-nl58z,3122959.45,1203725243.733333
49188,1688664600000000000,standard-az2-prd-6bd85cf6dc-nl58z,3221646.283333333,1209910749.8666666
50252,1688662800000000000,standard-az2-prd-6bd85cf6dc-nl58z,2923247.9833333334,1203942877.8666666
51293,1688661000000000000,standard-az2-prd-6bd85cf6dc-nl58z,2541843.3666666667,1204032716.8
52353,1688659200000000000,standard-az2-prd-6bd85cf6dc-nl58z,4474939.266666667,1203965883.733333
53414,1688657400000000000,standard-az2-prd-6bd85cf6dc-nl58z,2958806.6333333333,1203983769.6
54477,1688655600000000000,standard-az2-prd-6bd85cf6dc-nl58z,4778025.7,1203990869.3333333
55530,1688653800000000000,standard-az2-prd-6bd85cf6dc-nl58z,5043546.416666667,1204005819.733333
56594,1688652000000000000,standard-az2-prd-6bd85cf6dc-nl58z,5671287.266666667,1204011895.4666667
57652,1688650200000000000,standard-az2-prd-6bd85cf6dc-nl58z,7104720.383333334,1203968204.8
58713,1688648400000000000,standard-az2-prd-6bd85cf6dc-nl58z,14370582.6,1204023159.4666667
59776,1688646600000000000,standard-az2-prd-6bd85cf6dc-nl58z,16968711.45,1204081049.6
60844,1688644800000000000,standard-az2-prd-6bd85cf6dc-nl58z,20414398.783333335,1204114909.8666666
61911,1688643000000000000,standard-az2-prd-6bd85cf6dc-nl58z,22217552.083333332,1204170069.3333333
62979,1688641200000000000,standard-az2-prd-6bd85cf6dc-nl58z,20501390.05,1204178056.5333333
64044,1688639400000000000,standard-az2-prd-6bd85cf6dc-nl58z,19412597.55,1204172526.9333334
65112,1688637600000000000,standard-az2-prd-6bd85cf6dc-nl58z,22906820.783333335,1204206318.9333334
66183,1688635800000000000,standard-az2-prd-6bd85cf6dc-nl58z,28266755.716666665,1204138803.2
67253,1688634000000000000,standard-az2-prd-6bd85cf6dc-nl58z,25067928.533333335,1204025139.2
68319,1688632200000000000,standard-az2-prd-6bd85cf6dc-nl58z,22955354.433333337,1203963630.9333334
69393,1688630400000000000,standard-az2-prd-6bd85cf6dc-nl58z,20330435.4,1203927859.2
70447,1688628600000000000,standard-az2-prd-6bd85cf6dc-nl58z,18096552.0,1203922193.0666666
71518,1688626800000000000,standard-az2-prd-6bd85cf6dc-nl58z,13196187.1,1203885465.6
72590,1688625000000000000,standard-az2-prd-6bd85cf6dc-nl58z,16386836.266666668,1203857885.8666666
73693,1688623200000000000,standard-az2-prd-6bd85cf6dc-nl58z,18517993.7,1203740467.2
74801,1688621400000000000,standard-az2-prd-6bd85cf6dc-nl58z,17237869.75,1203680938.6666667
75879,1688619600000000000,standard-az2-prd-6bd85cf6dc-nl58z,13455147.5,1203628919.4666667
77052,1688617800000000000,standard-az2-prd-6bd85cf6dc-nl58z,16745972.15,1203549798.4
78112,1688616000000000000,standard-az2-prd-6bd85cf6dc-nl58z,20049854.45,1203491566.9333334
79182,1688614200000000000,standard-az2-prd-6bd85cf6dc-nl58z,19857724.65,1203409988.266667
80253,1688612400000000000,standard-az2-prd-6bd85cf6dc-nl58z,15423502.016666668,1203367321.6
81321,1688610600000000000,standard-az2-prd-6bd85cf6dc-nl58z,18240704.466666665,1203150643.2
82382,1688608800000000000,standard-az2-prd-6bd85cf6dc-nl58z,17283939.916666668,1203133303.4666667
83447,1688607000000000000,standard-az2-prd-6bd85cf6dc-nl58z,20161733.766666666,1203028104.5333333
84484,1688605200000000000,standard-az2-prd-6bd85cf6dc-nl58z,17337168.366666667,1202763912.5333333
85552,1688603400000000000,standard-az2-prd-6bd85cf6dc-nl58z,20208145.85,1202703633.0666666
86618,1688601600000000000,standard-az2-prd-6bd85cf6dc-nl58z,18429744.65,1202653934.9333334
87692,1688599800000000000,standard-az2-prd-6bd85cf6dc-nl58z,20358628.283333335,1202510233.6
88756,1688598000000000000,standard-az2-prd-6bd85cf6dc-nl58z,17543800.033333335,1202442103.4666667
89833,1688596200000000000,standard-az2-prd-6bd85cf6dc-nl58z,13747694.65,1202431863.4666667
90903,1688594400000000000,standard-az2-prd-6bd85cf6dc-nl58z,11406720.016666668,1202427699.2
91973,1688592600000000000,standard-az2-prd-6bd85cf6dc-nl58z,9161300.866666667,1202438280.5333333
93029,1688590800000000000,standard-az2-prd-6bd85cf6dc-nl58z,8369707.433333334,1202427904.0
94085,1688589000000000000,standard-az2-prd-6bd85cf6dc-nl58z,9914263.55,1202379093.3333333
95149,1688587200000000000,standard-az2-prd-6bd85cf6dc-nl58z,7795298.966666667,1202405580.8
96219,1688585400000000000,standard-az2-prd-6bd85cf6dc-nl58z,7227622.833333333,1202403259.733333
97273,1688583600000000000,standard-az2-prd-6bd85cf6dc-nl58z,7219404.2,1202397320.5333333
98302,1688581800000000000,standard-az2-prd-6bd85cf6dc-nl58z,3654059.283333333,1202342502.4
99370,1688580000000000000,standard-az2-prd-6bd85cf6dc-nl58z,8178831.9,1219093981.8666666
100432,1688578200000000000,standard-az2-prd-6bd85cf6dc-nl58z,2568292.9833333334,1202178252.8
101493,1688576400000000000,standard-az2-prd-6bd85cf6dc-nl58z,3331782.9833333334,1202185284.266667
