,time,pod_name,mean_cpu_usage_nanocores,mean_memory_working_set_bytes
67,1688747400000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,19945404.0,1616014894.5454545
1125,1688745600000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,19205622.316666663,1628576563.2
2181,1688743800000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,31649752.316666663,2173710267.733333
3242,1688742000000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,32236147.916666668,1803457945.6
4287,1688740200000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,31621990.45,1564338312.5333333
5350,1688738400000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,39739686.38333333,2130980659.2
6412,1688736600000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,42909586.75,2285984768.0
7481,1688734800000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,68009581.51666667,2231256064.0
8539,1688733000000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,56781700.88333333,2161208524.8
9605,1688731200000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,54171314.7,1956651895.4666667
10671,1688729400000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,78721118.58333333,2611245738.6666665
11736,1688727600000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,73235436.88333334,1804808806.4
12804,1688725800000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,67938403.65,2933901312.0
13839,1688724000000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,90225065.55,2721998301.866667
14898,1688722200000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,170267090.16666666,3535753216.0
15965,1688720400000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,182949666.3,3932992921.6
17027,1688718600000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,217156465.26666668,3919810423.466666
18095,1688716800000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,236579747.41666663,3772114124.8
19163,1688715000000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,283610936.81666666,3860001996.8
20232,1688713200000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,239621410.63333333,3737836817.0666666
21295,1688711400000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,180765209.61666667,3893257011.2
22357,1688709600000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,225712289.81666663,3943372936.533334
23417,1688707800000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,249041135.4,3764930423.466666
24417,1688706000000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,255229565.95,3731134737.0666666
25481,1688704200000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,252915627.93333337,3946450261.3333335
26545,1688702400000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,141236774.88333333,3589378457.6
27612,1688700600000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,130209601.13333334,3434111522.133333
28662,1688698800000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,187223659.5,3419626632.5333333
29717,1688697000000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,149099703.78333333,3487674504.5333333
30781,1688695200000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,120109220.53333332,3407314944.0
31839,1688693400000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,115766133.0,3301281109.3333335
32909,1688691600000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,87629369.35,3239364266.6666665
33975,1688689800000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,92048359.98333332,2551945420.8
35043,1688688000000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,76704163.15,2271972761.6
36112,1688686200000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,108813998.26666668,2990366446.9333334
37180,1688684400000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,161065150.83333334,3580275848.5333333
38250,1688682600000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,112695232.8,3254495573.3333335
39187,1688680800000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,76067656.98333333,2398531310.9333334
40246,1688679000000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,81949871.85,2946161254.4
41308,1688677200000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,34931960.28333333,1385254092.8
42377,1688675400000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,28523301.65,1366479667.2
43448,1688673600000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,17679631.316666666,1368191112.5333333
44518,1688671800000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,12742690.533333331,1353456571.733333
45578,1688670000000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,11221499.383333333,1380961962.6666667
46632,1688668200000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,10733465.233333332,1389856904.5333333
47698,1688666400000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,13636009.633333333,1412992819.2
48723,1688664600000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,13619496.333333334,1430806732.8
49783,1688662800000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,11201870.133333333,1373162769.0666666
50837,1688661000000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,11347963.066666666,1384724206.9333334
51897,1688659200000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,17979551.483333334,1407209403.733333
52961,1688657400000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,17611553.116666667,1417550097.0666666
54018,1688655600000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,17724874.2,1413173043.2
55079,1688653800000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,22477870.65,1386220953.6
56143,1688652000000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,25488558.15,1390230801.0666666
57199,1688650200000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,39182068.483333334,1577327616.0
58220,1688648400000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,35675203.05,1536659251.2
59291,1688646600000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,62095552.833333336,2420085623.4666667
60340,1688644800000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,77363589.48333333,2528784520.5333333
61407,1688643000000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,55149056.95,1952236066.1333337
62473,1688641200000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,64012086.483333334,2032785954.1333337
63540,1688639400000000000,vehiclemode-az2-prd-6d8c97ff4b-6pkxv,76309516.98333333,2554849962.6666665
