,time,pod_name,mean_cpu_usage_nanocores,mean_memory_working_set_bytes
0,1688747400000000000,zipkin-6c4bd7cff8-sjckh,23564456.40909091,4469616640.0
1061,1688745600000000000,zipkin-6c4bd7cff8-sjckh,25931441.883333333,4469619712.0
2120,1688743800000000000,zipkin-6c4bd7cff8-sjckh,34002571.78333333,4469706137.6
3173,1688742000000000000,zipkin-6c4bd7cff8-sjckh,38863571.45,4469640192.0
4235,1688740200000000000,zipkin-6c4bd7cff8-sjckh,38831728.13333333,4469629747.2
5295,1688738400000000000,zipkin-6c4bd7cff8-sjckh,45595322.916666664,4469569740.8
6354,1688736600000000000,zipkin-6c4bd7cff8-sjckh,60186658.7,4469598071.466666
7423,1688734800000000000,zipkin-6c4bd7cff8-sjckh,62053918.78333333,4469575133.866667
8489,1688733000000000000,zipkin-6c4bd7cff8-sjckh,61002420.65,4469563665.066667
9555,1688731200000000000,zipkin-6c4bd7cff8-sjckh,79331935.63333334,4469549397.333333
10603,1688729400000000000,zipkin-6c4bd7cff8-sjckh,88101284.95,4469556906.666667
11669,1688727600000000000,zipkin-6c4bd7cff8-sjckh,88196759.11666666,4469564484.266666
12734,1688725800000000000,zipkin-6c4bd7cff8-sjckh,102112437.73333332,4469563323.733334
13800,1688724000000000000,zipkin-6c4bd7cff8-sjckh,102749766.36666666,4472166741.333333
14867,1688722200000000000,zipkin-6c4bd7cff8-sjckh,139291898.7,4472969420.8
15933,1688720400000000000,zipkin-6c4bd7cff8-sjckh,172089426.9,4469513557.333333
16997,1688718600000000000,zipkin-6c4bd7cff8-sjckh,141759838.23333332,4469473826.133333
18062,1688716800000000000,zipkin-6c4bd7cff8-sjckh,142966709.56666666,4472473736.533334
19130,1688715000000000000,zipkin-6c4bd7cff8-sjckh,141597895.38333333,4473785821.866667
20200,1688713200000000000,zipkin-6c4bd7cff8-sjckh,122721168.88333334,4469283771.733334
21263,1688711400000000000,zipkin-6c4bd7cff8-sjckh,109050233.23333332,4469999274.666667
22329,1688709600000000000,zipkin-6c4bd7cff8-sjckh,116621450.5,4469515195.733334
23395,1688707800000000000,zipkin-6c4bd7cff8-sjckh,118599745.26666668,4469242265.6
24458,1688706000000000000,zipkin-6c4bd7cff8-sjckh,116154026.28333332,4474515524.266666
25525,1688704200000000000,zipkin-6c4bd7cff8-sjckh,100490563.01666668,4469400234.666667
26592,1688702400000000000,zipkin-6c4bd7cff8-sjckh,120055723.75,4469603123.2
27666,1688700600000000000,zipkin-6c4bd7cff8-sjckh,132818916.73333332,4472855961.6
28737,1688698800000000000,zipkin-6c4bd7cff8-sjckh,122968998.76666668,4469312238.933333
29808,1688697000000000000,zipkin-6c4bd7cff8-sjckh,120012459.81666666,4469269708.8
30876,1688695200000000000,zipkin-6c4bd7cff8-sjckh,100606353.3,4469266295.466666
31942,1688693400000000000,zipkin-6c4bd7cff8-sjckh,100341103.75,4469265476.266666
32997,1688691600000000000,zipkin-6c4bd7cff8-sjckh,102869525.08333331,4470863189.333333
34066,1688689800000000000,zipkin-6c4bd7cff8-sjckh,110579129.88333334,4469253666.133333
35137,1688688000000000000,zipkin-6c4bd7cff8-sjckh,113164339.91666669,4469253051.733334
36174,1688686200000000000,zipkin-6c4bd7cff8-sjckh,139423311.33333334,4469451844.266666
37244,1688684400000000000,zipkin-6c4bd7cff8-sjckh,140782756.28333333,4469516014.933333
38311,1688682600000000000,zipkin-6c4bd7cff8-sjckh,123376924.16666669,4469491575.466666
39366,1688680800000000000,zipkin-6c4bd7cff8-sjckh,96294706.5,4474035131.733334
40432,1688679000000000000,zipkin-6c4bd7cff8-sjckh,78331512.71666667,4474053290.666667
41503,1688677200000000000,zipkin-6c4bd7cff8-sjckh,61625617.96666667,4469482973.866667
42566,1688675400000000000,zipkin-6c4bd7cff8-sjckh,46202813.483333334,4469478604.8
43634,1688673600000000000,zipkin-6c4bd7cff8-sjckh,35973782.06666667,4469467136.0
44706,1688671800000000000,zipkin-6c4bd7cff8-sjckh,26213070.783333335,4469493760.0
45778,1688670000000000000,zipkin-6c4bd7cff8-sjckh,23175682.0,4469448704.0
46849,1688668200000000000,zipkin-6c4bd7cff8-sjckh,17606768.4,4469451434.666667
47852,1688666400000000000,zipkin-6c4bd7cff8-sjckh,17905669.016666666,4469427131.733334
48917,1688664600000000000,zipkin-6c4bd7cff8-sjckh,15034354.316666666,4469418120.533334
49983,1688662800000000000,zipkin-6c4bd7cff8-sjckh,22704300.433333337,4469415936.0
51043,1688661000000000000,zipkin-6c4bd7cff8-sjckh,23772619.216666665,4473106568.533334
52102,1688659200000000000,zipkin-6c4bd7cff8-sjckh,24795314.366666667,4469384533.333333
53157,1688657400000000000,zipkin-6c4bd7cff8-sjckh,23257899.6,4469386786.133333
54222,1688655600000000000,zipkin-6c4bd7cff8-sjckh,35731270.55,4473587985.066667
55285,1688653800000000000,zipkin-6c4bd7cff8-sjckh,42078637.86666667,4469384874.666667
56351,1688652000000000000,zipkin-6c4bd7cff8-sjckh,42957483.0,4469416072.533334
57403,1688650200000000000,zipkin-6c4bd7cff8-sjckh,54267339.63333333,4469383168.0
58466,1688648400000000000,zipkin-6c4bd7cff8-sjckh,56478735.53333333,4469407539.2
59523,1688646600000000000,zipkin-6c4bd7cff8-sjckh,66904326.36666667,4469396343.466666
60593,1688644800000000000,zipkin-6c4bd7cff8-sjckh,80405134.86666666,4469348283.733334
61660,1688643000000000000,zipkin-6c4bd7cff8-sjckh,82156400.21666667,4469342208.0
62730,1688641200000000000,zipkin-6c4bd7cff8-sjckh,90291227.3,4469331899.733334
63797,1688639400000000000,zipkin-6c4bd7cff8-sjckh,92039308.51666668,4469359001.6
64431,1688637600000000000,zipkin-6c4bd7cff8-sjckh,122157056.11666666,4476247586.133333
65506,1688635800000000000,zipkin-6c4bd7cff8-sjckh,131404769.7,4469322478.933333
66576,1688634000000000000,zipkin-6c4bd7cff8-sjckh,152869827.6,4474383223.466666
67650,1688632200000000000,zipkin-6c4bd7cff8-sjckh,144412050.33333334,4470488610.133333
68723,1688630400000000000,zipkin-6c4bd7cff8-sjckh,154115286.63333333,4469491302.4
69791,1688628600000000000,zipkin-6c4bd7cff8-sjckh,127842732.18333334,4469525981.866667
70781,1688626800000000000,zipkin-6c4bd7cff8-sjckh,118744943.46666668,4469504682.666667
71851,1688625000000000000,zipkin-6c4bd7cff8-sjckh,109655598.78333332,4469485431.466666
72956,1688623200000000000,zipkin-6c4bd7cff8-sjckh,101483965.8,4469442696.533334
74046,1688621400000000000,zipkin-6c4bd7cff8-sjckh,97452145.56666666,4469349239.466666
75134,1688619600000000000,zipkin-6c4bd7cff8-sjckh,103859854.88333334,4469321318.4
76333,1688617800000000000,zipkin-6c4bd7cff8-sjckh,117959486.23333332,4469251481.6
77403,1688616000000000000,zipkin-6c4bd7cff8-sjckh,133723122.48333332,4470447377.066667
78458,1688614200000000000,zipkin-6c4bd7cff8-sjckh,117876392.76666668,4469206766.933333
79529,1688612400000000000,zipkin-6c4bd7cff8-sjckh,109941873.98333332,4472857531.733334
80595,1688610600000000000,zipkin-6c4bd7cff8-sjckh,106547799.83333331,4469167786.666667
81660,1688608800000000000,zipkin-6c4bd7cff8-sjckh,99556017.75,4469170244.266666
82722,1688607000000000000,zipkin-6c4bd7cff8-sjckh,96091234.41666669,4469174681.6
83788,1688605200000000000,zipkin-6c4bd7cff8-sjckh,96890108.08333331,4469334766.933333
84863,1688603400000000000,zipkin-6c4bd7cff8-sjckh,108008714.38333334,4469499153.066667
85931,1688601600000000000,zipkin-6c4bd7cff8-sjckh,107842033.71666668,4477796283.733334
87003,1688599800000000000,zipkin-6c4bd7cff8-sjckh,151830159.43333334,4471768268.8
88075,1688598000000000000,zipkin-6c4bd7cff8-sjckh,142835224.13333333,4469555609.6
89152,1688596200000000000,zipkin-6c4bd7cff8-sjckh,125214507.08333331,4473571396.266666
90226,1688594400000000000,zipkin-6c4bd7cff8-sjckh,107783885.6,4472148104.533334
91294,1688592600000000000,zipkin-6c4bd7cff8-sjckh,82008093.9,4473417864.533334
92346,1688590800000000000,zipkin-6c4bd7cff8-sjckh,61152264.38333333,4470227421.866667
93396,1688589000000000000,zipkin-6c4bd7cff8-sjckh,48129498.55,4469411566.933333
94457,1688587200000000000,zipkin-6c4bd7cff8-sjckh,32555949.0,4472534357.333333
95488,1688585400000000000,zipkin-6c4bd7cff8-sjckh,29693090.683333337,4469346304.0
96547,1688583600000000000,zipkin-6c4bd7cff8-sjckh,23369099.133333333,4470347571.2
97606,1688581800000000000,zipkin-6c4bd7cff8-sjckh,16414067.55,4469391360.0
98671,1688580000000000000,zipkin-6c4bd7cff8-sjckh,18142538.016666666,4469391360.0
99742,1688578200000000000,zipkin-6c4bd7cff8-sjckh,17734164.75,4471599923.2
100803,1688576400000000000,zipkin-6c4bd7cff8-sjckh,20980448.6,4469391360.0
101865,1688574600000000000,zipkin-6c4bd7cff8-sjckh,23688058.15,4469342208.0
102911,1688572800000000000,zipkin-6c4bd7cff8-sjckh,24740010.833333332,4469297288.533334
103961,1688571000000000000,zipkin-6c4bd7cff8-sjckh,25326212.283333335,4469268480.0
105021,1688569200000000000,zipkin-6c4bd7cff8-sjckh,33101181.483333334,4469282816.0
106079,1688567400000000000,zipkin-6c4bd7cff8-sjckh,42848407.05,4469299200.0
107140,1688565600000000000,zipkin-6c4bd7cff8-sjckh,40284053.266666666,4469262472.533334
108197,1688563800000000000,zipkin-6c4bd7cff8-sjckh,53350042.56666667,4469252437.333333
109262,1688562000000000000,zipkin-6c4bd7cff8-sjckh,58002487.03333333,4469280768.0
110255,1688560200000000000,zipkin-6c4bd7cff8-sjckh,64461836.3,4469224584.533334
111318,1688558400000000000,zipkin-6c4bd7cff8-sjckh,81233328.0,4469194478.933333
112374,1688556600000000000,zipkin-6c4bd7cff8-sjckh,84805234.25,4474809207.466666
113432,1688554800000000000,zipkin-6c4bd7cff8-sjckh,95216487.93333334,4469182805.333333
114498,1688553000000000000,zipkin-6c4bd7cff8-sjckh,98408585.75,4474705169.066667
115546,1688551200000000000,zipkin-6c4bd7cff8-sjckh,119770048.5,4469138500.266666
116612,1688549400000000000,zipkin-6c4bd7cff8-sjckh,133455848.95,4474368955.733334
117673,1688547600000000000,zipkin-6c4bd7cff8-sjckh,161185199.2,4469023334.4
118724,1688545800000000000,zipkin-6c4bd7cff8-sjckh,156772083.88333333,4473162683.733334
119778,1688544000000000000,zipkin-6c4bd7cff8-sjckh,142806284.93333334,4468795323.733334
120839,1688542200000000000,zipkin-6c4bd7cff8-sjckh,139884817.83333334,4470219161.6
121906,1688540400000000000,zipkin-6c4bd7cff8-sjckh,121947893.23333332,4469838028.8
122971,1688538600000000000,zipkin-6c4bd7cff8-sjckh,115502768.7,4468775526.4
124038,1688536800000000000,zipkin-6c4bd7cff8-sjckh,115580891.36666666,4468759074.133333
